Item,Year,Value (tons),,,,,,,,,
Cereals,2000,310265.56,,,,Row Labels,Sum of Value (tons),Norway Population,Per Capita Imports,Area_population,Area_Imports (Tons)
Other food,2012,34,,,,,,,,,
Other food,2012,937378,,,,,,,,,
Other food,2013,1557,,,,,,,,,
Other food,2013,41,,,,,,,,,
Other food,2013,986348,,,,,,,,,
Other food,2014,1623,,,,,,,,,
Other food,2014,32,,,,,,,,,
Other food,2014,943047.75,,,,,,,,,
Other food,2015,1461,,,,,,,,,
Other food,2015,37,,,,,,,,,
Other food,2015,1003176.73,,,,,,,,,
Other food,2016,1406,,,,,,,,,
Other food,2016,42,,,,,,,,,
Other food,2016,949156.85,,,,,,,,,
Other food,2017,1442,,,,,,,,,
Other food,2017,39,,,,,,,,,
Other food,2017,921086.94,,,,,,,,,
Other food,2018,1312,,,,,,,,,
Other food,2018,28,,,,,,,,,
Other food,2018,929123.54,,,,,,,,,
Other food,2019,1490,,,,,,,,,
Other food,2019,2,,,,,,,,,
Other food,2019,1021356.33,,,,,,,,,
Other food,2020,1591,,,,,,,,,
Other food,2020,2,,,,,,,,,
Other food,2020,933707.06,,,,,,,,,
Oilseeds,2000,427666.48,,,,,,,,,
Oilseeds,2001,405096,,,,,,,,,
Oilseeds,2002,419471,,,,,,,,,
Oilseeds,2003,479268,,,,,,,,,
Oilseeds,2004,401937,,,,,,,,,
Oilseeds,2005,402892,,,,,,,,,
Oilseeds,2006,426923,,,,,,,,,
Oilseeds,2007,445855,,,,,,,,,
Oilseeds,2008,434327,,,,,,,,,
Oilseeds,2009,430475,,,,,,,,,
Oilseeds,2010,431676,,,,,,,,,
Oilseeds,2011,451324,,,,,,,,,
Oilseeds,2012,420786,,,,,,,,,
Oilseeds,2013,443413,,,,,,,,,
Oilseeds,2014,413598.04,,,,,,,,,
Oilseeds,2015,444152.29,,,,,,,,,
Oilseeds,2016,441301.3,,,,,,,,,
Oilseeds,2017,452273.13,,,,,,,,,
Oilseeds,2018,420985.08,,,,,,,,,
Oilseeds,2019,428718.14,,,,,,,,,
Oilseeds,2020,434444.71,,,,,,,,,
Other food nes,2000,98218.01,,,,,,,,,
Other food nes,2001,106343,,,,,,,,,
Other food nes,2002,109476,,,,,,,,,
Other food nes,2003,112899,,,,,,,,,
Other food nes,2004,121955,,,,,,,,,
Other food nes,2005,152255,,,,,,,,,
Other food nes,2006,176116,,,,,,,,,
Other food nes,2007,232703,,,,,,,,,
Other food nes,2008,249395,,,,,,,,,
Other food nes,2009,288680,,,,,,,,,
Other food nes,2010,422484,,,,,,,,,
Other food nes,2011,454323,,,,,,,,,
Other food nes,2012,516592,,,,,,,,,
Other food nes,2013,542935,,,,,,,,,
Other food nes,2014,529449.71,,,,,,,,,
Other food nes,2015,559024.45,,,,,,,,,
Other food nes,2016,507855.55,,,,,,,,,
Other food nes,2017,468813.81,,,,,,,,,
Other food nes,2018,508138.46,,,,,,,,,
